15,2,15,19,16,
15,1,17,14,1,
11,17,17,1,10,
18,18,14,11,10,
12,7,2,7,9,
7,6,19,18,7,
14,1,14,5,16,
7,16,14,6,10,
19,7,16,18,13,
14,6,11,14,14,
3,11,18,2,16,
1,4,18,9,1,
4,20,19,18,15,
2,19,9,2,15,
1,10,7,4,17,
17,2,13,5,11,
9,8,7,5,18,
18,11,15,18,1,
8,19,1,18,4,
16,8,15,16,2,
11,20,5,9,12,
1,18,19,10,10,
13,15,15,6,12,
4,19,16,9,10,
4,6,3,12,12,
17,6,11,4,11,
10,8,20,17,8,
5,5,4,20,4,
4,10,5,10,3,
15,2,17,6,10,
10,7,9,20,8,
3,11,10,18,5,
15,5,13,20,16,
12,14,5,13,9,
3,3,18,10,19,
14,12,12,13,10,
14,14,9,9,7,
9,14,12,11,3,
8,20,13,18,10,
3,14,12,12,11,
6,19,1,1,2,
9,11,13,19,14,
6,20,4,15,1,
11,2,6,8,9,
20,12,8,2,20,
3,16,13,13,3,
7,11,18,5,18,
9,6,8,13,15,
6,18,14,3,11,
11,3,12,11,13,
6,16,17,9,6,
16,15,17,4,10,
1,7,2,8,14,
15,11,12,9,20,
20,11,17,2,11,
4,1,6,7,14,
19,11,8,13,16,
20,9,12,16,13,
15,2,10,6,19,
12,4,4,17,12,
18,13,1,4,13,
17,1,9,17,2,
18,1,8,11,15,
10,16,13,16,13,
19,4,15,9,5,
8,11,13,1,9,
3,12,8,11,13,
19,20,16,1,10,
2,11,16,15,4,
3,17,2,14,17,
14,10,4,11,11,
2,7,11,12,2,
3,18,9,20,7,
12,19,19,17,15,
3,2,17,5,17,
19,19,5,19,12,
4,3,8,19,10,
6,6,15,17,6,
3,18,4,10,20,
8,11,11,20,9,
11,16,2,2,11,
5,12,2,1,9,
19,12,1,16,19,
11,7,16,19,6,
8,17,7,16,2,
10,5,4,14,15,
17,20,12,14,7,
17,12,2,18,20,
13,4,7,1,7,
20,4,10,4,18,
12,10,15,15,6,
2,4,4,20,3,
18,12,13,3,8,
11,4,5,5,9,
2,2,11,1,5,
16,10,6,10,2,
11,8,20,7,1,
6,8,18,19,5,
9,11,8,17,8,
5,20,14,17,1,
15,1,7,6,9,
13,4,13,16,2,
19,1,12,11,8,
20,17,18,14,2,
1,16,7,18,15,
12,9,9,10,18,
17,9,15,13,4,
15,11,12,14,18,
18,12,13,1,4,
14,9,20,17,13,
14,2,4,3,3,
19,1,1,17,3,
7,15,13,10,14,
5,5,19,8,14,
4,10,3,2,12,
20,13,12,15,7,
6,10,20,10,16,
14,18,17,11,20,
3,9,5,7,14,
10,3,18,13,7,
13,7,8,7,6,
1,4,2,10,9,
1,10,7,5,2,
20,12,18,16,10,
9,2,8,4,1,
3,9,19,5,8,
17,13,14,8,13,
18,8,19,15,5,
13,10,10,18,2,
3,2,20,9,13,
12,6,16,17,11,
18,18,6,18,2,
17,4,14,2,18,
1,16,13,18,3,
10,16,12,19,2,
8,1,7,1,16,
9,19,13,20,6,
7,15,19,14,14,
6,15,10,2,18,
7,13,1,20,14,
6,17,17,11,5,
17,13,5,3,3,
10,10,12,15,16,
2,3,20,5,11,
20,20,17,5,17,
8,6,18,2,4,
4,13,14,14,7,
18,8,8,15,1,
7,1,18,1,3,
18,2,18,9,5,
6,4,16,10,2,
12,2,1,2,19,
11,2,6,7,14,
5,17,6,6,11,
17,10,4,3,17,
7,13,15,17,10,
19,5,12,2,15,
20,4,4,4,9,
12,19,4,3,3,
12,14,1,20,3,
8,15,6,10,4,
15,3,1,5,9,
3,12,10,1,13,
1,14,10,15,5,
14,20,14,20,11,
13,9,5,4,8,
11,7,13,19,13,
7,13,14,5,3,
13,3,7,14,10,
11,11,12,9,18,
11,20,6,11,7,
4,13,7,17,10,
13,3,15,19,14,
2,19,16,9,1,
1,19,7,15,17,
9,16,7,1,7,
13,11,16,17,5,
3,11,4,9,6,
14,9,4,2,18,
6,7,5,20,9,
10,19,14,10,1,
8,9,8,14,2,
16,7,17,18,13,
1,10,7,4,6,
2,10,10,18,20,
17,6,20,16,15,
18,1,5,1,19,
19,2,5,10,2,
8,20,16,8,8,
9,13,2,12,4,
16,7,18,10,2,
10,13,2,8,11,
5,4,15,1,6,
11,10,10,15,20,
12,16,5,11,4,
